Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic NADPH (pmol/ug),Hepatic NADP (pmol/ug),Hepatic NADP/NADPH,Hepatic NADH (pmol/ug)
301,35,F,11.011,9.767,0.622,15.692,-155.08,0.213,1.438,6.765,1.769
302,35,F,7.894,7.24,0.327,22.134,-155.681,0.203,1.729,8.513,6.717
303,35,F,21.61,20.619,0.495,41.616,-178.272,0.343,1.117,3.257,2.325
304,35,F,12.901,12.05,0.425,28.336,-165.866,0.1,1.442,14.366,2.512
305,35,F,20.493,20.095,0.199,100.84,-189.84,0.164,1.256,7.658,1.84
306,35,F,21.709,21.178,0.265,79.784,-187.394,0.018,1.021,56.245,2.114
307,35,F,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,35,F,7.744,7.363,0.19,38.677,-163.421,NA,2.424,NA,2.105
309,35,F,14.735,14.089,0.323,43.615,-173.776,NA,1.677,NA,1.963
310,35,F,13.053,12.621,0.216,58.424,-176.23,NA,2.066,NA,2.791
