Mouse,Generation,Sex,Total Glutathione (nmol/mg),GSH (nmol/mg),GSSG (nmol/mg),GSH/GSSG,Eh (mV),NADPH (pmol/ug),NADP (pmol/ug),NADP/NADPH,NADH (pmol/ug),Liver Weight (g)
228,35,M,53.169,51.874,0.648,80.106,-199.509,0.241,0.836,3.473,2.006,2.25
229,35,M,20.651,19.938,0.357,55.922,-181.797,0.262,0.936,3.574,0.983,2.038
230,35,M,47.851,46.674,0.588,79.32,-197.954,0.258,1.28,4.965,1.542,1.829
231,35,M,29.769,29.083,0.343,84.761,-192.479,0.358,0.796,2.222,1.459,1.994
232,35,M,22.901,22.039,0.431,51.102,-181.932,0.177,1.061,5.986,2.231,2.127
233,35,M,49.581,48.495,0.543,89.308,-200.066,0.22,0.946,4.295,2.062,3.72
234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,35,M,47.235,45.903,0.666,68.935,-195.841,0.234,0.836,3.574,1.64,2.321
236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,35,M,48.091,46.832,0.63,74.378,-197.133,0.206,1.043,5.069,1.055,1.736
238,35,M,28.954,28.389,0.283,100.396,-194.433,0.189,1.334,7.049,0.783,1.864
239,35,M,41.066,40.083,0.491,81.582,-196.283,0.088,0.881,9.967,1.046,1.691
240,35,M,43.959,42.521,0.719,59.148,-192.749,0.109,1.163,10.641,1.245,2.002
241,35,M,33.876,32.713,0.581,56.269,-188.547,0.44,0.957,2.176,0.658,1.514
242,35,M,13.784,13.477,0.153,87.819,-182.601,0.401,0.822,2.053,1.416,2.208
243,35,M,24.029,23.411,0.309,75.797,-188.053,0.288,0.61,2.12,1.547,3.415
244,35,M,27.557,26.854,0.352,76.342,-189.997,0.097,0.932,9.603,1.428,2.661
245,35,M,43.974,42.735,0.619,68.999,-194.89,0.055,1.072,19.564,1.368,2.083
246,35,M,32.146,31.367,0.389,80.531,-192.807,0.139,1.001,7.175,1.594,1.949
247,35,M,35.261,34.295,0.483,71.009,-192.315,0.294,1.243,4.236,0.959,1.951
248,35,M,38.327,37.326,0.5,74.616,-194.122,0.125,1.518,12.182,1.059,2.713
249,35,M,42.662,41.394,0.634,65.295,-193.718,0.25,1.523,6.081,1.429,3.625
250,35,M,44.119,42.903,0.608,70.547,-195.242,0.108,1.59,14.752,0.831,1.821
251,35,M,40.116,38.872,0.622,62.492,-192.281,0.162,1.169,7.194,3.241,1.767
252,35,M,37.345,36.072,0.636,56.672,-189.959,0.026,0.895,34.344,1.401,1.453
253,35,M,30.973,30.2,0.386,78.163,-191.895,0.226,1.241,5.48,2.584,2.302
254,35,M,19.02,18.345,0.338,54.343,-180.29,0.222,1.42,6.412,0.995,1.543
255,35,M,21.153,20.653,0.25,82.664,-187.533,0.228,0.471,2.07,3.816,2.311
256,35,M,11.402,10.775,0.314,34.344,-166.948,0.137,1.603,11.664,0.293,1.93
257,35,M,39.86,38.161,0.85,44.917,-187.587,0.473,0.506,1.071,1.219,1.849
258,35,M,42.982,41.641,0.671,62.068,-193.116,0.415,0.731,1.759,3.164,2.127
259,35,M,24.258,23.83,0.214,111.251,-193.458,0.388,0.546,1.407,3.99,1.457
260,35,M,37.227,36.272,0.477,75.995,-193.983,0.402,0.731,1.821,2.902,1.399
261,35,M,63.291,60.02,1.636,36.694,-190.961,0.282,0.881,3.127,1.302,1.702
262,35,M,35.833,34.195,0.819,41.761,-185.129,0.267,0.732,2.746,2.758,1.744
263,35,M,39.415,38.473,0.471,81.72,-195.754,0.295,0.6,2.037,2.064,2.228
264,35,M,56.155,55.099,0.528,104.411,-203.889,0.152,0.713,4.691,2.544,2.143
265,35,M,44.404,43.37,0.517,83.88,-197.718,0.419,0.675,1.61,2.626,1.824
266,35,M,46.404,44.1,1.152,38.288,-187.385,0.231,1.044,4.511,1.869,1.972
267,35,M,22.826,22.193,0.317,70.117,-186.285,0.379,0.712,1.878,2.874,2.278
268,35,M,23.139,22.644,0.248,91.449,-190.132,0.242,0.797,3.292,1.429,2.325
269,35,M,48.371,47.366,0.502,94.272,-200.477,0.35,0.68,1.944,1.507,1.56
270,35,M,24.855,24.326,0.265,91.899,-191.163,0.412,0.752,1.828,2.233,1.503
271,35,M,17.339,16.901,0.219,77.276,-183.927,0.24,0.843,3.508,2.344,1.309
272,35,M,28.099,27.457,0.321,85.449,-191.813,0.295,0.822,2.79,3.243,1.605
273,35,M,36.174,35.021,0.577,60.722,-190.49,0.286,1.192,4.166,2.835,2.745
