Mouse,Generation,Sex,NADH (pmol/ug),NADP (pmol/ug),NADPH (pmol/ug),NADP/NADPH,Liver Weight (g),GSH (nmol/mg),GSSG (nmol/mg),Total Glutathione (nmol/mg),GSH/GSSG,Eh (mV)
249,35,M,1.429,1.523,0.25,6.081,3.625,41.394,0.634,42.662,65.295,-193.718
250,35,M,0.831,1.59,0.108,14.752,1.821,42.903,0.608,44.119,70.547,-195.242
251,35,M,3.241,1.169,0.162,7.194,1.767,38.872,0.622,40.116,62.492,-192.281
252,35,M,1.401,0.895,0.026,34.344,1.453,36.072,0.636,37.345,56.672,-189.959
253,35,M,2.584,1.241,0.226,5.48,2.302,30.2,0.386,30.973,78.163,-191.895
254,35,M,0.995,1.42,0.222,6.412,1.543,18.345,0.338,19.02,54.343,-180.29
255,35,M,3.816,0.471,0.228,2.07,2.311,20.653,0.25,21.153,82.664,-187.533
256,35,M,0.293,1.603,0.137,11.664,1.93,10.775,0.314,11.402,34.344,-166.948
257,35,M,1.219,0.506,0.473,1.071,1.849,38.161,0.85,39.86,44.917,-187.587
258,35,M,3.164,0.731,0.415,1.759,2.127,41.641,0.671,42.982,62.068,-193.116
259,35,M,3.99,0.546,0.388,1.407,1.457,23.83,0.214,24.258,111.251,-193.458
260,35,M,2.902,0.731,0.402,1.821,1.399,36.272,0.477,37.227,75.995,-193.983
261,35,M,1.302,0.881,0.282,3.127,1.702,60.02,1.636,63.291,36.694,-190.961
262,35,M,2.758,0.732,0.267,2.746,1.744,34.195,0.819,35.833,41.761,-185.129
263,35,M,2.064,0.6,0.295,2.037,2.228,38.473,0.471,39.415,81.72,-195.754
264,35,M,2.544,0.713,0.152,4.691,2.143,55.099,0.528,56.155,104.411,-203.889
265,35,M,2.626,0.675,0.419,1.61,1.824,43.37,0.517,44.404,83.88,-197.718
266,35,M,1.869,1.044,0.231,4.511,1.972,44.1,1.152,46.404,38.288,-187.385
267,35,M,2.874,0.712,0.379,1.878,2.278,22.193,0.317,22.826,70.117,-186.285
268,35,M,1.429,0.797,0.242,3.292,2.325,22.644,0.248,23.139,91.449,-190.132
269,35,M,1.507,0.68,0.35,1.944,1.56,47.366,0.502,48.371,94.272,-200.477
270,35,M,2.233,0.752,0.412,1.828,1.503,24.326,0.265,24.855,91.899,-191.163
271,35,M,2.344,0.843,0.24,3.508,1.309,16.901,0.219,17.339,77.276,-183.927
272,35,M,3.243,0.822,0.295,2.79,1.605,27.457,0.321,28.099,85.449,-191.813
273,35,M,2.835,1.192,0.286,4.166,2.745,35.021,0.577,36.174,60.722,-190.49
274,35,M,1.517,0.749,0.144,5.188,2.262,46.844,0.473,47.789,99.106,-201.001
275,35,M,2.045,1.135,0.454,2.497,1.665,30.586,0.248,31.081,123.569,-198.232
276,35,M,1.967,0.81,0.236,3.435,1.813,30.411,0.467,31.345,65.165,-189.54
277,35,M,2.919,0.537,0.367,1.463,1.518,45.681,0.807,47.295,56.606,-193.122
278,35,M,1.83,0.491,0.573,0.857,2.395,48.52,0.652,49.825,74.381,-197.611
